#Tabulated potential
r,f(r)
0.2325,-4.590565705342442e-10
0.2335,-4.587417112844605e-10
0.23450000000000001,-4.5842463158862756e-10
0.23550000000000001,-4.5810688575897984e-10
0.23650000000000002,-4.5778847379551735e-10
0.23750000000000002,-4.5746917365363515e-10
0.23850000000000002,-4.5714898533333326e-10
0.23950000000000002,-4.5682702065619196e-10
0.2405,-4.5650416780063097e-10
0.2415,-4.5618131494506997e-10
0.2425,-4.558562416434597e-10
0.2435,-4.5553094629724455e-10
0.2445,-4.5520520686181953e-10
0.2455,-4.5487791311416004e-10
0.2465,-4.545483989204513e-10
0.2475,-4.54220439038977e-10
0.2485,-4.538895925776387e-10
0.2495,-4.5355807998248565e-10
0.2505,-4.532267894319375e-10
0.2515,-4.528932784353401e-10
0.2525,-4.5255843517111316e-10
0.2535,-4.5222403599609606e-10
0.2545,-4.5188874864265927e-10
0.2555,-4.51551906976988e-10
0.2565,-4.5121373304368717e-10
0.2575,-4.5087555911038635e-10
0.2585,-4.5053583086485105e-10
0.2595,-4.5019499239629113e-10
0.2605,-4.498532657493115e-10
0.2615,-4.495126493253565e-10
0.2625,-4.4916892427693256e-10
0.2635,-4.4882453309469383e-10
0.2645,-4.4848036395706004e-10
0.2655,-4.48133974373377e-10
0.2665,-4.4778758478969394e-10
0.2675,-4.4743986293838134e-10
0.2685,-4.4709125290864904e-10
0.2695,-4.4674264287891674e-10
0.2705,-4.4639225649234504e-10
0.2715,-4.460414260165635e-10
0.2725,-4.4568881918394254e-10
0.2735,-4.4533665644053144e-10
0.2745,-4.4498360551870064e-10
0.2755,-4.446283341508206e-10
0.2765,-4.442735068721504e-10
0.2775,-4.4391734732585064e-10
0.2785,-4.435611877795509e-10
0.2795,-4.4320236369799204e-10
0.2805,-4.428444277948529e-10
0.28150000000000003,-4.4248471553487434e-10
0.28250000000000003,-4.421250032748958e-10
0.28350000000000003,-4.4176373670268276e-10
0.28450000000000003,-4.414022480858648e-10
0.28550000000000003,-4.4103964924602224e-10
0.28650000000000003,-4.4067616222775996e-10
0.28750000000000003,-4.403120090756829e-10
0.2885,-4.399471897897911e-10
0.2895,-4.395817043700845e-10
0.2905,-4.392153307719582e-10
0.2915,-4.388474028615974e-10
0.2925,-4.384794749512366e-10
0.2935,-4.38111102951666e-10
0.2945,-4.377413986844658e-10
0.2955,-4.3737102828345087e-10
0.2965,-4.3699999174862114e-10
0.2975,-4.366280670353717e-10
0.2985,-4.362554761883075e-10
0.2995,-4.358817751182187e-10
0.3005,-4.3550807404812986e-10
0.3015,-4.351332627550164e-10
0.3025,-4.347577853280882e-10
0.3035,-4.3438230790115995e-10
0.3045,-4.340048320727874e-10
0.3055,-4.3362735624441484e-10
0.3065,-4.332489922376226e-10
0.3075,-4.3286974005241063e-10
0.3085,-4.3249004377798883e-10
0.3095,-4.3210879319133255e-10
0.3105,-4.317279866938861e-10
0.3115,-4.313456258842052e-10
0.3125,-4.3096370916373417e-10
0.3135,-4.3058046017563356e-10
0.3145,-4.301965450537182e-10
0.3155,-4.298115197087782e-10
0.3165,-4.2942649436383817e-10
0.3175,-4.290399147066637e-10
0.3185,-4.2865444527251384e-10
0.3195,-4.282671994815246e-10
0.3205,-4.2787839937830086e-10
0.3215,-4.274904874534968e-10
0.3225,-4.2710124326106325e-10
0.3235,-4.2671111089020997e-10
0.3245,-4.263212005639616e-10
0.3255,-4.259297359254788e-10
0.3265,-4.25538049242391e-10
0.3275,-4.251459184700934e-10
0.3285,-4.2475312156398104e-10
0.3295,-4.2435921443484403e-10
0.3305,-4.239648632164972e-10
0.3315,-4.2357006790894047e-10
0.3325,-4.2317505055677884e-10
0.3335,-4.2277870093698766e-10
0.3345,-4.223823513171965e-10
0.3355,-4.219848914743807e-10
0.3365,-4.2158720958695994e-10
0.3375,-4.211884174765146e-10
0.3385,-4.20790291499884e-10
0.3395,-4.2038972303259925e-10
0.3405,-4.1998982069912927e-10
0.3415,-4.1958969632105436e-10
0.3425,-4.19188017630745e-10
0.3435,-4.187863389404356e-10
0.34450000000000003,-4.1838399411631144e-10
0.34550000000000003,-4.179816492921873e-10
0.34650000000000003,-4.1757775015582865e-10
0.34750000000000003,-4.1717429510867987e-10
0.34850000000000003,-4.1676972983850646e-10
0.34950000000000003,-4.163647204791232e-10
0.35050000000000003,-4.15959489075135e-10
0.35150000000000003,-4.155529254035173e-10
0.3525,-4.1514636173189956e-10
0.3535,-4.1473913192646705e-10
0.3545,-4.1433212416563947e-10
0.3555,-4.139233400479725e-10
0.3565,-4.1351477797491043e-10
0.3575,-4.131055497680336e-10
0.3585,-4.1269609951655184e-10
0.3595,-4.1228620517586023e-10
0.3605,-4.118754226567489e-10
0.3615,-4.114646401376376e-10
0.3625,-4.1105252535089676e-10
0.3635,-4.106404105641559e-10
0.3645,-4.1022829577741504e-10
0.3655,-4.0981573690146433e-10
0.3665,-4.094014016686742e-10
0.3675,-4.089877325696989e-10
0.3685,-4.085736193815137e-10
0.3695,-4.081586180149088e-10
0.3705,-4.0774383869290887e-10
0.3715,-4.073279491478843e-10
0.3725,-4.069113934690449e-10
0.3735,-4.064952818794154e-10
0.3745,-4.060791702897859e-10
0.3755,-4.0566083825410715e-10
0.3765,-4.052427282630333e-10
0.3775,-4.048246182719595e-10
0.3785,-4.044062862362807e-10
0.3795,-4.0398706602218226e-10
0.3805,-4.035678458080838e-10
0.3815,-4.031475153709607e-10
0.3825,-4.0272718493383763e-10
0.3835,-4.023066324521096e-10
0.3845,-4.0188563588117177e-10
0.3855,-4.0146397317641913e-10
0.3865,-4.010423104716665e-10
0.3875,-4.0061975958849416e-10
0.3885,-4.001976527945317e-10
0.3895,-3.9977510191135934e-10
0.3905,-3.993516628497673e-10
0.3915,-3.989275576543605e-10
0.3925,-3.985034524589537e-10
0.3935,-3.9807912521894195e-10
0.3945,-3.9765435388972037e-10
0.3955,-3.9722913847128893e-10
0.3965,-3.968039230528575e-10
0.3975,-3.963780415006113e-10
0.3985,-3.959521599483651e-10
0.3995,-3.9552516817309424e-10
0.4005,-3.950990645762431e-10
0.4015,-3.9467185075636735e-10
0.4025,-3.942448589810965e-10
0.4035,-3.9381675698280105e-10
0.4045,-3.9338843293990067e-10
0.4055,-3.929601088970003e-10
0.40650000000000003,-3.9253156280949497e-10
0.40750000000000003,-3.9210301672198966e-10
0.40850000000000003,-3.9167358245606465e-10
0.40950000000000003,-3.912442592124421e-10
0.41050000000000003,-3.908141588127023e-10
0.41150000000000003,-3.9038394739066007e-10
0.41250000000000003,-3.8995362494631536e-10
0.41350000000000003,-3.895230804573657e-10
0.41450000000000004,-3.8909231392381116e-10
0.41550000000000004,-3.886606592118369e-10
0.4165,-3.882296706336774e-10
0.4175,-3.877975718324933e-10
0.4185,-3.873660281428215e-10
0.4195,-3.869332632078226e-10
0.4205,-3.8650127542894097e-10
0.4215,-3.860685104939421e-10
0.4225,-3.856350794251284e-10
0.4235,-3.8520164835631476e-10
0.4245,-3.847688834213159e-10
0.4255,-3.8433500826329237e-10
0.4265,-3.8390091106066393e-10
0.4275,-3.8346636976882564e-10
0.4285,-3.8303249461080213e-10
0.4295,-3.8259817536356877e-10
0.4305,-3.8216341202712556e-10
0.4315,-3.817282046014725e-10
0.4325,-3.8129299717581944e-10
0.4335,-3.8085756770556145e-10
0.4345,-3.8042213823530346e-10
0.4355,-3.799860426312307e-10
0.4365,-3.7954994702715794e-10
0.4375,-3.791140734676901e-10
0.4385,-3.786775337744075e-10
0.4395,-3.782409940811249e-10
0.4405,-3.7780456541014473e-10
0.4415,-3.773674706053498e-10
0.4425,-3.7693048682285735e-10
0.4435,-3.764935030403649e-10
0.4445,-3.760559641463601e-10
0.4455,-3.7561809218544795e-10
0.4465,-3.751805532914432e-10
0.4475,-3.74742681330531e-10
0.4485,-3.74304365280409e-10
0.4495,-3.7386649331949684e-10
0.4505,-3.734279552247699e-10
0.4515,-3.729898612192528e-10
0.4525,-3.725515451691308e-10
0.4535,-3.72112562985194e-10
0.4545,-3.716740248904671e-10
0.4555,-3.7123482066192537e-10
0.4565,-3.7079594950029104e-10
0.4575,-3.703563011825395e-10
0.4585,-3.699176520655101e-10
0.4595,-3.6947789272545606e-10
0.4605,-3.690387995192168e-10
0.4615,-3.6859915120146525e-10
0.4625,-3.6815928083910876e-10
0.4635,-3.6771941047675227e-10
0.4645,-3.6727987318130317e-10
0.4655,-3.6683944770743437e-10
0.4665,-3.663995773450779e-10
0.4675,-3.659597069827214e-10
0.4685,-3.6551961457576e-10
0.46950000000000003,-3.6507930012419365e-10
0.47050000000000003,-3.646387636280224e-10
0.47150000000000003,-3.641983381541536e-10
0.47250000000000003,-3.6375746859107494e-10
0.47350000000000003,-3.6331704311720614e-10
0.47450000000000003,-3.628767286656398e-10
0.47550000000000003,-3.6243563705795623e-10
0.47650000000000003,-3.619949895394825e-10
0.47750000000000004,-3.615545640656137e-10
0.47850000000000004,-3.611138055248375e-10
0.47950000000000004,-3.606728249394564e-10
0.4805,-3.6023173333177283e-10
0.4815,-3.597908637686942e-10
0.4825,-3.59350105227918e-10
0.4835,-3.5890890259793196e-10
0.4845,-3.5846758894564346e-10
0.4855,-3.5802694142716973e-10
0.4865,-3.575859608417886e-10
0.4875,-3.571447582118026e-10
0.4885,-3.5670388864872393e-10
0.4895,-3.5626257499643543e-10
0.4905,-3.558213723664494e-10
0.4915,-3.5538016973646336e-10
0.4925,-3.549390781287798e-10
0.4935,-3.5449809754339867e-10
0.4945,-3.5405722798032e-10
0.4955,-3.53616025350334e-10
0.4965,-3.5317504476495287e-10
0.4975,-3.5273384213496684e-10
0.4985,-3.522926395049808e-10
0.4995,-3.518515478972972e-10
0.5005000000000001,-3.514103452673112e-10
0.5015000000000001,-3.5096947570423254e-10
0.5025000000000001,-3.5052871716345635e-10
0.5035000000000001,-3.500881806672851e-10
0.5045000000000001,-3.49647200081904e-10
0.5055000000000001,-3.4920599745191794e-10
0.5065000000000001,-3.487654609557467e-10
0.5075000000000001,-3.4832459139266803e-10
0.5085000000000001,-3.4788416591879923e-10
0.5095000000000001,-3.4744340737802304e-10
0.5105000000000001,-3.470027598595493e-10
0.5115000000000001,-3.4656222336337805e-10
0.5125,-3.461220199341142e-10
0.5135,-3.456814834379429e-10
0.5145,-3.452413910309815e-10
0.5155,-3.4480085453481024e-10
0.5165,-3.443608731501513e-10
0.5175,-3.439207807431899e-10
0.5185,-3.4348068833622847e-10
0.5195,-3.430407069515695e-10
0.5205,-3.4260083658921303e-10
0.5215,-3.4216096622685654e-10
0.5225,-3.41721317909105e-10
0.5235,-3.412816695913534e-10
0.5245,-3.408422433182068e-10
0.5255,-3.4040281704506015e-10
0.5265,-3.399639458834258e-10
0.5275,-3.3952485267718657e-10
0.5285,-3.3908564844864486e-10
0.5295,-3.3864644422010315e-10
0.5305,-3.382076840807713e-10
0.5315,-3.377690349637419e-10
0.5325,-3.373303858467125e-10
0.5335,-3.3689184775198555e-10
0.5345,-3.3645375374646846e-10
0.5355,-3.36015326674044e-10
0.5365,-3.355772326685269e-10
0.5375,-3.351392496853123e-10
0.5385,-3.3470182181360997e-10
0.5395,-3.3426383883039534e-10
0.5405,-3.3382607789178564e-10
0.5415,-3.3338920513159565e-10
0.5425,-3.329518882821958e-10
0.5435,-3.325146824550984e-10
0.5445,-3.32077476628001e-10
0.5455,-3.316407148901135e-10
0.5465,-3.312041751968309e-10
0.5475,-3.3076763550354826e-10
0.5485,-3.303313178548706e-10
0.5495,-3.298955553177052e-10
0.5505,-3.294595707359349e-10
0.5515,-3.290230310426523e-10
0.5525,-3.2858771259469677e-10
0.5535,-3.281521721021363e-10
0.5545,-3.277171867210882e-10
0.5555,-3.272819792954351e-10
0.5565,-3.268468828920845e-10
0.5575,-3.2641234160024624e-10
0.5585,-3.259776892861055e-10
0.5595,-3.255434810611746e-10
0.5605,-3.2510905079163877e-10
0.5615,-3.246753976782202e-10
0.5625,-3.2424152252019667e-10
0.5635,-3.2380798042908054e-10
0.5645,-3.233744383379644e-10
0.5655,-3.2294134033605815e-10
0.5665,-3.2250835335645434e-10
0.5675,-3.220756994437579e-10
0.5685,-3.216436006425738e-10
0.5695,-3.2121105775217984e-10
0.5705,-3.207790699732982e-10
0.5715,-3.203468601498116e-10
0.5725,-3.1991576054934967e-10
0.5735,-3.1948399481507295e-10
0.5745,-3.1905278419230854e-10
0.5755,-3.1862179561414905e-10
0.5765,-3.181912511251994e-10
0.5775,-3.177607066362498e-10
0.5785,-3.1733049521420753e-10
0.5795,-3.169005058367702e-10
0.5805,-3.164707385039378e-10
0.5815,-3.1604119321571034e-10
0.5825,-3.156122030389952e-10
0.5835,-3.1518321286228e-10
0.5845,-3.147543337078673e-10
0.5855,-3.1432589864266447e-10
0.5865,-3.1389768562206655e-10
0.5875,-3.134695836237711e-10
0.5885,-3.13041814692383e-10
0.5895,-3.1261437882790233e-10
0.5905,-3.121873870526315e-10
0.5915,-3.1176017323275573e-10
0.5925,-3.113334035020898e-10
0.5935,-3.109072999052387e-10
0.5945,-3.1048119630838755e-10
0.5955,-3.100552037338389e-10
0.5965,-3.0962943320389513e-10
0.5975,-3.092045508523711e-10
0.5985,-3.087792244116372e-10
0.5995,-3.0835467512702053e-10
0.6005,-3.0793023686470633e-10
0.6015,-3.07506242691602e-10
0.6025,-3.0708247056310256e-10
0.6035,-3.0665892047920806e-10
0.6045,-3.0623537039531357e-10
0.6055,-3.058129305344437e-10
0.6065,-3.0539004658436397e-10
0.6075,-3.049679397904015e-10
0.6085,-3.045454999295316e-10
0.6095,-3.04123837224779e-10
0.6105,-3.0370239656463127e-10
0.6115,-3.03281066926786e-10
0.6125,-3.0286040342275555e-10
0.6135,-3.0243985094102754e-10
0.6145,-3.020199645931143e-10
0.6155,-3.016000782452011e-10
0.6165,-3.0118041394189277e-10
0.6175,-3.0076108270549184e-10
0.6185,-3.0034197351369585e-10
0.6195,-2.9992341943341216e-10
0.6205,-2.9950553148694326e-10
0.6215,-2.9908786558507927e-10
0.6225,-2.986701996832153e-10
0.6235,-2.9825297787056115e-10
0.6245,-2.978360891248144e-10
0.6255000000000001,-2.974190893567652e-10
0.6265000000000001,-2.970033108340431e-10
0.6275000000000001,-2.9658719924441357e-10
0.6285000000000001,-2.961718648109013e-10
0.6295000000000001,-2.957563083327841e-10
0.6305000000000001,-2.9534175105538907e-10
0.6315000000000001,-2.9492719377799403e-10
0.6325000000000001,-2.9451308058980885e-10
0.6335000000000001,-2.940994114908335e-10
0.6345000000000001,-2.936857423918582e-10
0.6355000000000001,-2.932725173820927e-10
0.6365000000000001,-2.928601805507469e-10
0.6375000000000001,-2.9244784371940113e-10
0.6385000000000001,-2.920357289326603e-10
0.6395000000000001,-2.9162405823512927e-10
0.6405,-2.912126095822032e-10
0.6415,-2.9080160501848695e-10
0.6425,-2.9039171067779534e-10
0.6435,-2.8998115020328896e-10
0.6445,-2.895716999518072e-10
0.6455,-2.891623607226279e-10
0.6465,-2.887531325157511e-10
0.6475,-2.883443483980841e-10
0.6485,-2.879361193919294e-10
0.6495,-2.8752822345268214e-10
0.6505,-2.8712088262494717e-10
0.6515,-2.8671376384181713e-10
0.6525,-2.8630697812559447e-10
0.6535,-2.859007475208841e-10
0.6545,-2.854945169161738e-10
0.6555,-2.8508917448988313e-10
0.6565,-2.846840541081974e-10
0.6575,-2.842792667934191e-10
0.6585,-2.8387514561245553e-10
0.6595,-2.834706913645846e-10
0.6605,-2.8306712529513334e-10
0.6615,-2.8266433638179933e-10
0.6625,-2.822615474684653e-10
0.6635,-2.8185898059973624e-10
0.6645,-2.81456857820217e-10
0.6655,-2.8105540117451255e-10
0.6665,-2.8065438861801795e-10
0.6675,-2.8025359810612827e-10
0.6685,-2.7985325168344843e-10
0.6695,-2.7945334934997845e-10
0.6705,-2.790536690611134e-10
0.6715,-2.786546549060631e-10
0.6725,-2.782559738179202e-10
0.6735,-2.778579588635921e-10
0.6745,-2.774601659538689e-10
0.6755,-2.770627061110531e-10
0.6765,-2.7666535729053976e-10
0.6775,-2.762690076707486e-10
0.6785,-2.7587310214016725e-10
0.6795,-2.754771966095859e-10
0.6805,-2.7508195721281936e-10
0.6815,-2.746870508829602e-10
0.6825,-2.742928106869158e-10
0.6835,-2.7389868151317387e-10
0.6845,-2.735052184732467e-10
0.6855,-2.7311231054483187e-10
0.6865,-2.7271962466102195e-10
0.6875,-2.723272718441194e-10
0.6885,-2.719358072056366e-10
0.6895,-2.715442315448513e-10
0.6905,-2.711535440624857e-10
0.6915,-2.707629676024226e-10
0.6925,-2.7037327932077915e-10
0.6935,-2.699837020614382e-10
0.6945,-2.695944578690046e-10
0.6955,-2.6920576878808333e-10
0.6965,-2.6881741277406945e-10
0.6975,-2.6842972289387035e-10
0.6985,-2.6804236608057863e-10
0.6995,-2.676556754011017e-10
0.7005,-2.6726931778853213e-10
0.7015,-2.668835152874749e-10
0.7025,-2.664979348310226e-10
0.7035,-2.6611268744147765e-10
0.7045,-2.657283282303524e-10
0.7055,-2.6534441310843704e-10
0.7065,-2.6496083105342905e-10
0.7075,-2.645773600207235e-10
0.7085,-2.641947771664377e-10
0.7095,-2.638126384013617e-10
0.7105,-2.6343127679240297e-10
0.7115,-2.630496931388393e-10
0.7125,-2.6266899766369534e-10
0.7135,-2.6228841321085383e-10
0.7145,-2.6190871693643203e-10
0.7155,-2.615291316843127e-10
0.7165,-2.6115043461061305e-10
0.7175,-2.6077218162612326e-10
0.7185,-2.6039392864163347e-10
0.7195,-2.6001689690247076e-10
0.7205,-2.596397541410056e-10
0.7215,-2.592630554687503e-10
0.7225,-2.5888735599721713e-10
0.7235,-2.58511656525684e-10
0.7245,-2.5813651216566313e-10
0.7255,-2.5776214496175953e-10
0.7265,-2.5738799980246085e-10
0.7275,-2.570144097546745e-10
0.7285,-2.566409307291906e-10
0.7295,-2.562685619267313e-10
0.7305,-2.558963041465745e-10
0.7315,-2.555251565894423e-10
0.7325,-2.5515367596540273e-10
0.7335,-2.547833055643878e-10
0.7345,-2.5441315720797775e-10
0.7355,-2.5404345294077757e-10
0.7365,-2.5367441480739217e-10
0.7375,-2.533055987186117e-10
0.7385,-2.529376708082509e-10
0.7395,-2.525701869871e-10
0.7405,-2.5220270316594906e-10
0.7415,-2.5183599650091537e-10
0.7425,-2.51469844947394e-10
0.7435,-2.5110424850538493e-10
0.7445,-2.507392071748882e-10
0.7455,-2.503744989112988e-10
0.7465,-2.5001045678152423e-10
0.7475,-2.4964696976326195e-10
0.7485,-2.492837047896046e-10
0.7495,-2.4892132799436695e-10
0.7505000000000001,-2.4855906222143176e-10
0.7515000000000001,-2.4819779564921873e-10
0.7525000000000001,-2.4783641805470324e-10
0.7535000000000001,-2.4747570659400253e-10
0.7545000000000001,-2.471162163786289e-10
0.7555000000000001,-2.4675650411865035e-10
0.7565000000000001,-2.463973469701841e-10
0.7575000000000001,-2.460389669778351e-10
0.7585000000000001,-2.4568103107469597e-10
0.7595000000000001,-2.4532331721616174e-10
0.7605000000000001,-2.449668246029546e-10
0.7615000000000001,-2.446099989228401e-10
0.7625000000000001,-2.4425406142114525e-10
0.7635000000000001,-2.4389890107556766e-10
0.7645000000000001,-2.4354407379689746e-10
0.7655000000000001,-2.431896906074371e-10
0.7665000000000001,-2.42836084574094e-10
0.7675000000000001,-2.424824785407509e-10
0.7685,-2.421299827304324e-10
0.7695,-2.4177793100932377e-10
0.7705,-2.414259903105176e-10
0.7715,-2.410747157455262e-10
0.7725,-2.4072421833665203e-10
0.7735,-2.4037383195008033e-10
0.7745,-2.4002433374192833e-10
0.7755,-2.3967561268989357e-10
0.7765,-2.3932711368246373e-10
